Mask,Total_sessions,Animal_list,Num_animals,Rewarded_animal_list,Num_rewarded_animals,Long_term_animal_list,Num_long_term_animals,Highly_rewarded_animal_list,Num_highly_rewarded_animals
O,40,"830, 780, 777, 735, 683, 655, 589, 585, 078, 077, 076, 073, 072, 070, 069, 067, 049, 047",18,"830, 780, 777, 735, 683, 655, 589, 585, 078, 077, 076, 073, 072, 070, 069, 067, 049, 047",18,"780, 067, 777, 070, 069, 047, 830, 683, 589, 585, 076, 072, 049",13,"830, 780, 777, 735, 683, 655, 589, 585, 078, 077, 076, 073, 072, 070, 069, 067, 049, 047",18
E,32,"830, 777, 078, 077, 076, 073, 072, 070, 069, 067, 049",11,"777, 078, 077, 076, 073, 072, 070, 069, 067, 049",10,"069, 067, 070, 076, 073, 072",6,"777, 078, 077, 076, 073, 072, 070, 069, 067, 049",10
F,15,"076, 073, 072, 069, 067, 049",6,"076, 073, 069, 067",4,"069, 067, 073",3,"076, 073, 069, 067",4
A,51,"780, 777, 735, 683, 655, 585, 078, 076, 073, 072, 070, 069, 067, 049, 047",15,"735, 683, 655, 585, 076, 073, 070, 067",8,"683, 073, 735, 655, 585, 076",6,"735, 683, 655, 585, 076, 073, 070",7
B,7,"735, 683, 655, 585",4,"735, 683, 655, 585",4,"683, 735",2,"735, 683, 655, 585",4
C,17,"780, 777, 735, 683, 655, 589, 076, 073, 067",9,"780, 735, 683, 655, 076, 073, 067",7,"683, 780, 735",3,"780, 735, 683, 655, 076, 073",6
D,36,"830, 780, 777, 735, 683, 655, 589, 076, 073, 070, 069, 067, 049, 047",14,"780, 735, 683, 655, 589, 076, 073, 070, 069",9,"073, 683",2,"780, 735, 683, 655, 073",5
